name,opening_hours,amenity,tourism,shop,healthcare,leisure,sport,craft,building,geometry
Canadian Tire,"Mo-Fr 8:00-21:00, Sa-Su 8:00-17:00",,,doityourself,,,,,yes,"MULTIPOLYGON (((-73.62092389999999 45.556893, -73.6206203 45.556618, -73.61929910000001 45.5572446, -73.61977109999999 45.5577254, -73.62084400000001 45.5571845, -73.620712 45.5570195, -73.62092389999999 45.556893)))"
Parc Montcalm,Apr 15-Sep 30 07:00-22:00; Oct 1-Apr 14 07:00-19:00,,,,,park,,,,"MULTIPOLYGON (((-73.76284510000001 45.5361753, -73.76240610000001 45.5357632, -73.7624167 45.535739, -73.7624433 45.5356785, -73.7627517 45.5355399, -73.7624089 45.5351728, -73.7620426 45.5349782, -73.7618592 45.5349421, -73.761347 45.5349366, -73.76106729999999 45.5348435, -73.7605915 45.5344301, -73.76006289999999 45.5350867, -73.75972590000001 45.5352617, -73.76072069999999 45.5362686, -73.7608176 45.5364213, -73.76098930000001 45.5364111, -73.76124299999999 45.5365219, -73.7614026 45.5364902, -73.76284510000001 45.5361753)))"
Canada Post,Mo-Fr 09:30-16:30,post_office,,,,,,,yes,"MULTIPOLYGON (((-73.4938475 45.412311, -73.4934439 45.412134, -73.49339809999999 45.4121855, -73.4932957 45.4123005, -73.49360350000001 45.4124355, -73.4936981 45.4123292, -73.4937939 45.4123712, -73.4938475 45.412311)))"
SQDC,Mo-Fr:10:00-21:00; Sa-Su:10:00-17:00,,,cannabis,,,,,yes,"MULTIPOLYGON (((-73.47397100000001 45.4329443, -73.47335630000001 45.4327369, -73.47310779999999 45.4330996, -73.4730818 45.4331376, -73.4736111 45.4333162, -73.4736042 45.4333264, -73.47369019999999 45.4333554, -73.4737354 45.4332894, -73.4737257 45.4332861, -73.4739197 45.4330033, -73.4739285 45.4330063, -73.47397100000001 45.4329443)))"
Parc de Dieppe,Mo-Su 06:00-24:00,,,,,park,,,,"MULTIPOLYGON (((-73.54441559999999 45.5036063, -73.5438511 45.5035423, -73.5439128 45.5030216, -73.54410300000001 45.5014977, -73.5429358 45.5014226, -73.5427691 45.5026395, -73.5427406 45.5028155, -73.54278619999999 45.5034843, -73.5427802 45.50434, -73.5427621 45.5049426, -73.5427656 45.5053352, -73.54275130000001 45.5056631, -73.5427526 45.5061034, -73.5427638 45.5063489, -73.54275320000001 45.5066334, -73.5427451 45.5070734, -73.54274289999999 45.507418, -73.5427526 45.5077895, -73.54281279999999 45.5078639, -73.5428878 45.507922, -73.54297649999999 45.5079585, -73.5431021 45.5079698, -73.5432086 45.5079476, -73.5433342 45.5078733, -73.5433901 45.5077616, -73.5435727 45.5070251, -73.5435459 45.5069977, -73.5439092 45.5053064, -73.54402880000001 45.5052612, -73.54408069999999 45.505079, -73.54414920000001 45.5048385, -73.5441182 45.504831, -73.5441618 45.5046747, -73.544127 45.5046697, -73.54423269999999 45.5042384, -73.5442845 45.5042334, -73.54441559999999 45.5036063)))"
IGA Mullins,Mo-Su 08:00-22:00,,,supermarket,,,,,retail,"MULTIPOLYGON (((-73.56772479999999 45.4767824, -73.56736859999999 45.4764058, -73.5671334 45.4765152, -73.56718119999999 45.4765657, -73.5670489 45.4766272, -73.5671815 45.4767674, -73.5671507 45.4767817, -73.5673264 45.4769676, -73.56772479999999 45.4767824)))"
Parc Saint-Gabriel,Mo-Su 06:00-24:00,,,,,park,,,,"LINESTRING (-73.56705890000001 45.4771882, -73.56775260000001 45.4775603, -73.5656659 45.4785974, -73.565095 45.4781335, -73.56705890000001 45.4771882)"
L'Intermarché Boyer,Mo-Su 08:00-24:00,,,supermarket,,,,,yes,"LINESTRING (-73.57930349999999 45.5272526, -73.5790992 45.5274753, -73.5794101 45.5276153, -73.5796144 45.5273926, -73.57930349999999 45.5272526)"
Quincaillerie Rona,"Mo-We 08:00-18:00; Th,Fr 08:00-21:00; Sa 08:00-17:00; Su 10:00-17:00",,,doityourself,,,,,yes,"LINESTRING (-73.5741836 45.4836683, -73.5738467 45.4838736, -73.5740433 45.4840322, -73.5743801 45.4838269, -73.5743386 45.4837934, -73.5741836 45.4836683)"
Saint-Hubert,"Mo-Su 11:00-23:00; Th,Fr 11:00-24:00",restaurant,,,,,,,retail,"LINESTRING (-73.6210068 45.4959369, -73.6208173 45.496147, -73.6211483 45.4962923, -73.6211732 45.4962633, -73.6211199 45.4962421, -73.6211917 45.496154, -73.62121260000001 45.4961604, -73.62124249999999 45.4961567, -73.6212586 45.496153, -73.6212982 45.4961014, -73.62130670000001 45.4960907, -73.6213042 45.4960742, -73.6212785 45.4960618, -73.6210068 45.4959369)"
Farmer's Market,24/7,marketplace,,greengrocer,,,,,roof,"LINESTRING (-73.621743 45.4962192, -73.62158119999999 45.4963915, -73.6217431 45.4964662, -73.6219048 45.4962939, -73.621743 45.4962192)"
Bibliothèque de Côte-des-Neiges,Mo-Fr 10:00-18:00; Tu-We 12:00-19:30; Sa-Su 10:00-17:00,library,,,,,,,civic,"LINESTRING (-73.62222180000001 45.4961462, -73.62230510000001 45.4960763, -73.6224931 45.4959273, -73.62251000000001 45.4959143, -73.6224497 45.495883, -73.6223961 45.4957458, -73.6222978 45.4957065, -73.6222272 45.4957849, -73.62198840000001 45.4960503, -73.62205109999999 45.4960761, -73.62222180000001 45.4961462)"
Parc Guy/Paxton,Mo-Su 06:00-24:00,,,,,park,,,,"LINESTRING (-73.5675117 45.4910846, -73.5673712 45.4908517, -73.567724 45.4904464, -73.568003 45.490586, -73.5675117 45.4910846)"
Parc Saint-Gabriel,Mo-Su 06:00-24:00,,,,,park,,,,"MULTIPOLYGON (((-73.56775260000001 45.4775603, -73.56705890000001 45.4771882, -73.565095 45.4781335, -73.5656659 45.4785974, -73.56775260000001 45.4775603)))"
L'Intermarché Boyer,Mo-Su 08:00-24:00,,,supermarket,,,,,yes,"MULTIPOLYGON (((-73.5796144 45.5273926, -73.57930349999999 45.5272526, -73.5790992 45.5274753, -73.5794101 45.5276153, -73.5796144 45.5273926)))"
Quincaillerie Rona,"Mo-We 08:00-18:00; Th,Fr 08:00-21:00; Sa 08:00-17:00; Su 10:00-17:00",,,doityourself,,,,,yes,"MULTIPOLYGON (((-73.5743801 45.4838269, -73.5743386 45.4837934, -73.5741836 45.4836683, -73.5738467 45.4838736, -73.5740433 45.4840322, -73.5743801 45.4838269)))"
Saint-Hubert,"Mo-Su 11:00-23:00; Th,Fr 11:00-24:00",restaurant,,,,,,,retail,"MULTIPOLYGON (((-73.62130670000001 45.4960907, -73.6213042 45.4960742, -73.6212785 45.4960618, -73.6210068 45.4959369, -73.6208173 45.496147, -73.6211483 45.4962923, -73.6211732 45.4962633, -73.6211199 45.4962421, -73.6211917 45.496154, -73.62121260000001 45.4961604, -73.62124249999999 45.4961567, -73.6212586 45.496153, -73.6212982 45.4961014, -73.62130670000001 45.4960907)))"
Farmer's Market,24/7,marketplace,,greengrocer,,,,,roof,"MULTIPOLYGON (((-73.6219048 45.4962939, -73.621743 45.4962192, -73.62158119999999 45.4963915, -73.6217431 45.4964662, -73.6219048 45.4962939)))"
Bibliothèque de Côte-des-Neiges,Mo-Fr 10:00-18:00; Tu-We 12:00-19:30; Sa-Su 10:00-17:00,library,,,,,,,civic,"MULTIPOLYGON (((-73.62251000000001 45.4959143, -73.6224497 45.495883, -73.6223961 45.4957458, -73.6222978 45.4957065, -73.6222272 45.4957849, -73.62198840000001 45.4960503, -73.62205109999999 45.4960761, -73.62222180000001 45.4961462, -73.62230510000001 45.4960763, -73.6224931 45.4959273, -73.62251000000001 45.4959143)))"
Parc Guy/Paxton,Mo-Su 06:00-24:00,,,,,park,,,,"MULTIPOLYGON (((-73.568003 45.490586, -73.567724 45.4904464, -73.5673712 45.4908517, -73.5675117 45.4910846, -73.568003 45.490586)))"
Provigo,Mo-Su 08:00-22:00,,,supermarket,,,,,yes,"LINESTRING (-73.6387356 45.5409151, -73.6392044 45.5410534, -73.6394104 45.5407107, -73.6389416 45.5405724, -73.6387356 45.5409151)"
Banque Nationale,"Mo-We,Fr 10:00-15:00; Th 10:00-18:00",bank,,,,,,,yes,"LINESTRING (-73.6037656 45.5463246, -73.6039507 45.5461242, -73.6040842 45.5461846, -73.603899 45.546385, -73.6037656 45.5463246)"
Pharmacie Jean-Coutu,Mo-Su 09:00-21:00,pharmacy,,,,,,,yes,"LINESTRING (-73.6034251 45.5461831, -73.6035267 45.5460751, -73.6036319 45.5459655, -73.6037402 45.5460158, -73.60353360000001 45.546234, -73.6034251 45.5461831)"
Parc des Chaudronniers,Mo-Su 06:00-24:00,,,,,park,,,,"LINESTRING (-73.5669017 45.4820427, -73.5671667 45.48226, -73.5668926 45.4824243, -73.5667285 45.4822889, -73.5666272 45.4822076, -73.5669017 45.4820427)"
Dépanneur Boni-Soir,Mo-Sa 06:00-23:00; Su 07:00-23:00,fuel,,,,,,,commercial,"LINESTRING (-73.3072777 45.3615765, -73.30736020000001 45.3616129, -73.307474 45.361633, -73.3075348 45.3614966, -73.3074062 45.3614351, -73.3072777 45.3615765)"
Parc Sacré-Cœur,07:00-23:00,,,,,park,,,,"LINESTRING (-73.88993290000001 45.5597502, -73.8904888 45.560259, -73.8893173 45.5608059, -73.8892002 45.5607876, -73.88902109999999 45.5605798, -73.8890234 45.5604813, -73.88993290000001 45.5597502)"
Provigo,Mo-Su 08:00-22:00,,,supermarket,,,,,yes,"MULTIPOLYGON (((-73.6394104 45.5407107, -73.6389416 45.5405724, -73.6387356 45.5409151, -73.6392044 45.5410534, -73.6394104 45.5407107)))"
Banque Nationale,"Mo-We,Fr 10:00-15:00; Th 10:00-18:00",bank,,,,,,,yes,"MULTIPOLYGON (((-73.6040842 45.5461846, -73.6039507 45.5461242, -73.6037656 45.5463246, -73.603899 45.546385, -73.6040842 45.5461846)))"
Pharmacie Jean-Coutu,Mo-Su 09:00-21:00,pharmacy,,,,,,,yes,"MULTIPOLYGON (((-73.6037402 45.5460158, -73.6036319 45.5459655, -73.6035267 45.5460751, -73.6034251 45.5461831, -73.60353360000001 45.546234, -73.6037402 45.5460158)))"
Parc des Chaudronniers,Mo-Su 06:00-24:00,,,,,park,,,,"MULTIPOLYGON (((-73.5671667 45.48226, -73.5669017 45.4820427, -73.5666272 45.4822076, -73.5667285 45.4822889, -73.5668926 45.4824243, -73.5671667 45.48226)))"
Dépanneur Boni-Soir,Mo-Sa 06:00-23:00; Su 07:00-23:00,fuel,,,,,,,commercial,"MULTIPOLYGON (((-73.3075348 45.3614966, -73.3074062 45.3614351, -73.3072777 45.3615765, -73.30736020000001 45.3616129, -73.307474 45.361633, -73.3075348 45.3614966)))"
Parc Sacré-Cœur,07:00-23:00,,,,,park,,,,"MULTIPOLYGON (((-73.8904888 45.560259, -73.88993290000001 45.5597502, -73.8890234 45.5604813, -73.88902109999999 45.5605798, -73.8892002 45.5607876, -73.8893173 45.5608059, -73.8904888 45.560259)))"
Saint-Hubert,Mo-We 11:00-22:00; Tu-Sa 11:00-23:00; Su 11:00-22:00,restaurant,,,,,,,retail,"LINESTRING (-73.69314439999999 45.4413607, -73.693116 45.4411709, -73.6931855 45.4411658, -73.693175 45.4410955, -73.69281549999999 45.441122, -73.6928545 45.441382, -73.69314439999999 45.4413607)"
Bibliothèque Mordecai-Richler,"Mo,Th 10:00-18:00; Tu,We 10:00-20:00; Fr 12:00-18:00; Sa 10:00-17:00; Su 12:00-17:00",library,,,,,,,yes,"LINESTRING (-73.6017111 45.5218424, -73.6016662 45.5218221, -73.60167610000001 45.5218116, -73.6015498 45.5217539, -73.60153800000001 45.521766, -73.60148599999999 45.521742, -73.6015245 45.5216982, -73.60156859999999 45.5217174, -73.6016254 45.5216514, -73.6015278 45.5216066, -73.6014874 45.521588, -73.6015991 45.5214602, -73.60193270000001 45.5215993, -73.6017963 45.521746, -73.60172970000001 45.5218202, -73.6017111 45.5218424)"
Maison Notman,Mo-Fr 08:00-21:00; Sa 10:00-18:00; Su 12:00-18:00,,,,,,,,public_building,"LINESTRING (-73.5700377 45.5117705, -73.5700137 45.5118242, -73.5699888 45.5118799, -73.5699726 45.5118763, -73.5699554 45.5119148, -73.5699728 45.5119186, -73.5699333 45.5119853, -73.5701337 45.5120281, -73.5701681 45.5119693, -73.5701846 45.5119324, -73.57021330000001 45.5118679, -73.5701122 45.5118458, -73.57013619999999 45.5117921, -73.57012829999999 45.5117904, -73.5700377 45.5117705)"
Costco Essence,Mo-Fr 07:00-21:00;Sa 07:00-18:30;Su 07:00-17:30,fuel,,,,,,,roof,"LINESTRING (-73.5514821 45.4865951, -73.5513752 45.4865858, -73.5513814 45.4865507, -73.55139629999999 45.4864669, -73.55141089999999 45.4863845, -73.5514172 45.4863491, -73.551524 45.4863583, -73.5515178 45.4863933, -73.55150310000001 45.4864762, -73.5514883 45.48656, -73.5514821 45.4865951)"
Fripe-Prix Store,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,charity,,,,,yes,"LINESTRING (-73.632628 45.456235, -73.6329813 45.4560534, -73.6334949 45.4565452, -73.63340410000001 45.4565919, -73.6333583 45.4565481, -73.63309580000001 45.456683, -73.632628 45.456235)"
A&W,Fr-Su 00:00-24:00; Mo-Th 07:00-24:00,fast_food,,,,,,,yes,"LINESTRING (-73.63287529999999 45.4557791, -73.6327161 45.4556241, -73.6326002 45.4556828, -73.6327721 45.4558501, -73.63282599999999 45.4558228, -73.6328132 45.4558104, -73.63287529999999 45.4557791)"
YMCA du Parc,Mo-Fr 06:45-23:00; Sa-Su 08:00-20:00,,,,,sports_centre,,,yes,"LINESTRING (-73.60242220000001 45.5221386, -73.602751 45.5222841, -73.6029612 45.5220509, -73.6026324 45.5219054, -73.60242220000001 45.5221386)"
Parc Outremont,07:00-23:00,,,,,park,,,,"LINESTRING (-73.6061761 45.5177493, -73.6057193 45.5182723, -73.6054779 45.5185412, -73.605008 45.5190613, -73.60387849999999 45.5185655, -73.6031723 45.5182559, -73.6037286 45.5175993, -73.6043683 45.5169423, -73.6046668 45.5170644, -73.6047111 45.5170975, -73.6055758 45.5174798, -73.6057249 45.5175519, -73.6061761 45.5177493)"
Saint-Hubert,Mo-We 11:00-22:00; Tu-Sa 11:00-23:00; Su 11:00-22:00,restaurant,,,,,,,retail,"MULTIPOLYGON (((-73.6931855 45.4411658, -73.693175 45.4410955, -73.69281549999999 45.441122, -73.6928545 45.441382, -73.69314439999999 45.4413607, -73.693116 45.4411709, -73.6931855 45.4411658)))"
Bibliothèque Mordecai-Richler,"Mo,Th 10:00-18:00; Tu,We 10:00-20:00; Fr 12:00-18:00; Sa 10:00-17:00; Su 12:00-17:00",library,,,,,,,yes,"MULTIPOLYGON (((-73.60193270000001 45.5215993, -73.6015991 45.5214602, -73.6014874 45.521588, -73.6015278 45.5216066, -73.6016254 45.5216514, -73.60156859999999 45.5217174, -73.6015245 45.5216982, -73.60148599999999 45.521742, -73.60153800000001 45.521766, -73.6015498 45.5217539, -73.60167610000001 45.5218116, -73.6016662 45.5218221, -73.6017111 45.5218424, -73.60172970000001 45.5218202, -73.6017963 45.521746, -73.60193270000001 45.5215993)))"
Maison Notman,Mo-Fr 08:00-21:00; Sa 10:00-18:00; Su 12:00-18:00,,,,,,,,public_building,"MULTIPOLYGON (((-73.57021330000001 45.5118679, -73.5701122 45.5118458, -73.57013619999999 45.5117921, -73.57012829999999 45.5117904, -73.5700377 45.5117705, -73.5700137 45.5118242, -73.5699888 45.5118799, -73.5699726 45.5118763, -73.5699554 45.5119148, -73.5699728 45.5119186, -73.5699333 45.5119853, -73.5701337 45.5120281, -73.5701681 45.5119693, -73.5701846 45.5119324, -73.57021330000001 45.5118679)))"
Costco Essence,Mo-Fr 07:00-21:00;Sa 07:00-18:30;Su 07:00-17:30,fuel,,,,,,,roof,"MULTIPOLYGON (((-73.551524 45.4863583, -73.5514172 45.4863491, -73.55141089999999 45.4863845, -73.55139629999999 45.4864669, -73.5513814 45.4865507, -73.5513752 45.4865858, -73.5514821 45.4865951, -73.5514883 45.48656, -73.55150310000001 45.4864762, -73.5515178 45.4863933, -73.551524 45.4863583)))"
Fripe-Prix Store,Mo-Fr 09:00-21:00; Sa 09:00-17:00; Su 10:00-17:00,,,charity,,,,,yes,"MULTIPOLYGON (((-73.6334949 45.4565452, -73.6329813 45.4560534, -73.632628 45.456235, -73.63309580000001 45.456683, -73.6333583 45.4565481, -73.63340410000001 45.4565919, -73.6334949 45.4565452)))"
A&W,Fr-Su 00:00-24:00; Mo-Th 07:00-24:00,fast_food,,,,,,,yes,"MULTIPOLYGON (((-73.63287529999999 45.4557791, -73.6327161 45.4556241, -73.6326002 45.4556828, -73.6327721 45.4558501, -73.63282599999999 45.4558228, -73.6328132 45.4558104, -73.63287529999999 45.4557791)))"
YMCA du Parc,Mo-Fr 06:45-23:00; Sa-Su 08:00-20:00,,,,,sports_centre,,,yes,"MULTIPOLYGON (((-73.6029612 45.5220509, -73.6026324 45.5219054, -73.60242220000001 45.5221386, -73.602751 45.5222841, -73.6029612 45.5220509)))"
Parc Outremont,07:00-23:00,,,,,park,,,,"MULTIPOLYGON (((-73.6061761 45.5177493, -73.6057249 45.5175519, -73.6055758 45.5174798, -73.6047111 45.5170975, -73.6046668 45.5170644, -73.6043683 45.5169423, -73.6037286 45.5175993, -73.6031723 45.5182559, -73.60387849999999 45.5185655, -73.605008 45.5190613, -73.6054779 45.5185412, -73.6057193 45.5182723, -73.6061761 45.5177493)))"
Pharmaprix,Mo-Su 08:00-22:00,,,chemist,,,,,yes,"LINESTRING (-73.63128570000001 45.5393071, -73.6320027 45.5395103, -73.6320424 45.5394416, -73.63212780000001 45.5392937, -73.6314108 45.5390906, -73.63128570000001 45.5393071)"
Parc de l'espoir,Mo-Su 10:00-23:00,,,,,park,,,,"LINESTRING (-73.5548431 45.5197457, -73.5545242 45.5195943, -73.5544453 45.5196874, -73.55475680000001 45.5198344, -73.5548431 45.5197457)"
,Mo-Su 10:00-18:00,,,,,,,,retail,"LINESTRING (-73.5445969 45.5452651, -73.5445259 45.5453817, -73.54415520000001 45.545272, -73.5442257 45.5451529, -73.5445969 45.5452651)"
Metro Ontario,Mo-Su 08:00-22:00,,,supermarket,,,,,commercial,"LINESTRING (-73.5433364 45.5472892, -73.5432965 45.5472553, -73.5433025 45.5472366, -73.54324 45.5472175, -73.542856 45.5471002, -73.5426914 45.5473587, -73.54273259999999 45.5474214, -73.54277980000001 45.5474324, -73.54276160000001 45.5474637, -73.54284749999999 45.5474942, -73.5430592 45.5475636, -73.54312950000001 45.5475866, -73.5431561 45.5475485, -73.5431803 45.5475036, -73.5432009 45.5475061, -73.5433364 45.5472892)"
1700 La Poste,We-Sa 11:00-17:00,,gallery,,,,,,yes,"LINESTRING (-73.5679074 45.4891066, -73.56800579999999 45.4889893, -73.5678973 45.4889417, -73.5678618 45.4889756, -73.56778420000001 45.4890496, -73.5679074 45.4891066)"
Intermarché Palumbo,Mo-Su 08:00-21:00,,,supermarket,,,,,retail,"LINESTRING (-73.65951889999999 45.5977792, -73.65999100000001 45.597355, -73.65967980000001 45.5971786, -73.65933649999999 45.597524, -73.65949209999999 45.5976666, -73.6594331 45.5977004, -73.65951889999999 45.5977792)"
Benny&Co.,Mo-Su 11:00-22:00,restaurant,,,,,,,yes,"LINESTRING (-73.679536 45.5789044, -73.679382 45.5788913, -73.6794087 45.5787382, -73.6795626 45.5787513, -73.679536 45.5789044)"
Metro,"Mo-Su,Ph 08:00-23:00",,,supermarket,,,,,retail,"LINESTRING (-73.53360549999999 45.5517433, -73.5333432 45.5521334, -73.53356100000001 45.5522023, -73.5335991 45.5521435, -73.5337698 45.5521979, -73.53379289999999 45.5521623, -73.5339056 45.5521997, -73.53401119999999 45.5521694, -73.5341457 45.5519601, -73.53417330000001 45.5519173, -73.53360549999999 45.5517433)"
Pharmacie Jean-Coutu,"Mo-Sa 09:00-21:00, Su 10:00-21:00",pharmacy,,,pharmacy,,,,yes,"LINESTRING (-73.5838559 45.5335207, -73.5841858 45.5336738, -73.5840919 45.5337743, -73.5840369 45.5337508, -73.5840195 45.5337687, -73.5839477 45.5337359, -73.58374190000001 45.5336419, -73.5838559 45.5335207)"
Vitro Plus,24/7,,,car_repair,,,,,yes,"LINESTRING (-73.5428119 45.5617351, -73.5426781 45.5619381, -73.5424793 45.5618727, -73.5425114 45.5618174, -73.5425984 45.5618451, -73.5426379 45.5618326, -73.5427121 45.5617219, -73.5427437 45.5617136, -73.5428119 45.5617351)"
300 dpi Barber Shop,"Tu-Su 10:00-18:00, Th-We 10:00-21:00, Sa 10:00-17:00",,,hairdresser,,,,,yes,"LINESTRING (-73.5436761 45.5588874, -73.54362999999999 45.5589575, -73.5438008 45.5590134, -73.54384469999999 45.5589431, -73.5436761 45.5588874)"
YMCA Hochelaga-Maisonneuve,Mo-Fr 06:00-22:00; Sa 08:00-18:00; Su 08:00-17:30,,,,,sports_centre,,,yes,"LINESTRING (-73.54527280000001 45.5576732, -73.54541399999999 45.5574639, -73.54556049999999 45.5575123, -73.5455328 45.5575534, -73.54591600000001 45.5576801, -73.5458337 45.5578021, -73.5454457 45.5576738, -73.54541450000001 45.55772, -73.54527280000001 45.5576732)"
Service Canada,Mo-Fr 08:30-16:00,,,,,,,,public,"LINESTRING (-73.8472383 45.6441345, -73.8467394 45.6444645, -73.84665680000001 45.6444118, -73.8465731 45.6444495, -73.8461064 45.6441008, -73.8463746 45.643932, -73.84664069999999 45.6441118, -73.84669649999999 45.6441158, -73.84695189999999 45.6439468, -73.8472383 45.6441345)"
Parc de l'Irlande,Mo-Su 06:00-24:00,,,,,park,,,,"LINESTRING (-73.56124269999999 45.4781593, -73.5612754 45.4781692, -73.5615682 45.4785615, -73.5610969 45.4785487, -73.56124269999999 45.4781593)"
Pharmaprix,24/7,pharmacy,,,,,,,retail,"LINESTRING (-73.61963419999999 45.4950397, -73.6196496 45.4950206, -73.6199031 45.4947149, -73.6199575 45.4946473, -73.6197536 45.4945667, -73.6194361 45.4949614, -73.61963419999999 45.4950397)"
Pharmaprix,Mo-Su 08:00-22:00,,,chemist,,,,,yes,"MULTIPOLYGON (((-73.63212780000001 45.5392937, -73.6314108 45.5390906, -73.63128570000001 45.5393071, -73.6320027 45.5395103, -73.6320424 45.5394416, -73.63212780000001 45.5392937)))"
Parc de l'espoir,Mo-Su 10:00-23:00,,,,,park,,,,"MULTIPOLYGON (((-73.5548431 45.5197457, -73.5545242 45.5195943, -73.5544453 45.5196874, -73.55475680000001 45.5198344, -73.5548431 45.5197457)))"
,Mo-Su 10:00-18:00,,,,,,,,retail,"MULTIPOLYGON (((-73.5445969 45.5452651, -73.5442257 45.5451529, -73.54415520000001 45.545272, -73.5445259 45.5453817, -73.5445969 45.5452651)))"
Metro Ontario,Mo-Su 08:00-22:00,,,supermarket,,,,,commercial,"MULTIPOLYGON (((-73.5433364 45.5472892, -73.5432965 45.5472553, -73.5433025 45.5472366, -73.54324 45.5472175, -73.542856 45.5471002, -73.5426914 45.5473587, -73.54273259999999 45.5474214, -73.54277980000001 45.5474324, -73.54276160000001 45.5474637, -73.54284749999999 45.5474942, -73.5430592 45.5475636, -73.54312950000001 45.5475866, -73.5431561 45.5475485, -73.5431803 45.5475036, -73.5432009 45.5475061, -73.5433364 45.5472892)))"
1700 La Poste,We-Sa 11:00-17:00,,gallery,,,,,,yes,"MULTIPOLYGON (((-73.56800579999999 45.4889893, -73.5678973 45.4889417, -73.5678618 45.4889756, -73.56778420000001 45.4890496, -73.5679074 45.4891066, -73.56800579999999 45.4889893)))"
Intermarché Palumbo,Mo-Su 08:00-21:00,,,supermarket,,,,,retail,"MULTIPOLYGON (((-73.65999100000001 45.597355, -73.65967980000001 45.5971786, -73.65933649999999 45.597524, -73.65949209999999 45.5976666, -73.6594331 45.5977004, -73.65951889999999 45.5977792, -73.65999100000001 45.597355)))"
Benny&Co.,Mo-Su 11:00-22:00,restaurant,,,,,,,yes,"MULTIPOLYGON (((-73.6795626 45.5787513, -73.6794087 45.5787382, -73.679382 45.5788913, -73.679536 45.5789044, -73.6795626 45.5787513)))"
Metro,"Mo-Su,Ph 08:00-23:00",,,supermarket,,,,,retail,"MULTIPOLYGON (((-73.53417330000001 45.5519173, -73.53360549999999 45.5517433, -73.5333432 45.5521334, -73.53356100000001 45.5522023, -73.5335991 45.5521435, -73.5337698 45.5521979, -73.53379289999999 45.5521623, -73.5339056 45.5521997, -73.53401119999999 45.5521694, -73.5341457 45.5519601, -73.53417330000001 45.5519173)))"
Pharmacie Jean-Coutu,"Mo-Sa 09:00-21:00, Su 10:00-21:00",pharmacy,,,pharmacy,,,,yes,"MULTIPOLYGON (((-73.5841858 45.5336738, -73.5838559 45.5335207, -73.58374190000001 45.5336419, -73.5839477 45.5337359, -73.5840195 45.5337687, -73.5840369 45.5337508, -73.5840919 45.5337743, -73.5841858 45.5336738)))"
Vitro Plus,24/7,,,car_repair,,,,,yes,"MULTIPOLYGON (((-73.5428119 45.5617351, -73.5427437 45.5617136, -73.5427121 45.5617219, -73.5426379 45.5618326, -73.5425984 45.5618451, -73.5425114 45.5618174, -73.5424793 45.5618727, -73.5426781 45.5619381, -73.5428119 45.5617351)))"
300 dpi Barber Shop,"Tu-Su 10:00-18:00, Th-We 10:00-21:00, Sa 10:00-17:00",,,hairdresser,,,,,yes,"MULTIPOLYGON (((-73.54384469999999 45.5589431, -73.5436761 45.5588874, -73.54362999999999 45.5589575, -73.5438008 45.5590134, -73.54384469999999 45.5589431)))"
YMCA Hochelaga-Maisonneuve,Mo-Fr 06:00-22:00; Sa 08:00-18:00; Su 08:00-17:30,,,,,sports_centre,,,yes,"MULTIPOLYGON (((-73.54591600000001 45.5576801, -73.5455328 45.5575534, -73.54556049999999 45.5575123, -73.54541399999999 45.5574639, -73.54527280000001 45.5576732, -73.54541450000001 45.55772, -73.5454457 45.5576738, -73.5458337 45.5578021, -73.54591600000001 45.5576801)))"
Service Canada,Mo-Fr 08:30-16:00,,,,,,,,public,"MULTIPOLYGON (((-73.8472383 45.6441345, -73.84695189999999 45.6439468, -73.84669649999999 45.6441158, -73.84664069999999 45.6441118, -73.8463746 45.643932, -73.8461064 45.6441008, -73.8465731 45.6444495, -73.84665680000001 45.6444118, -73.8467394 45.6444645, -73.8472383 45.6441345)))"
Parc de l'Irlande,Mo-Su 06:00-24:00,,,,,park,,,,"MULTIPOLYGON (((-73.5615682 45.4785615, -73.5612754 45.4781692, -73.56124269999999 45.4781593, -73.5610969 45.4785487, -73.5615682 45.4785615)))"
Pharmaprix,24/7,pharmacy,,,,,,,retail,"MULTIPOLYGON (((-73.6199575 45.4946473, -73.6197536 45.4945667, -73.6194361 45.4949614, -73.61963419999999 45.4950397, -73.6196496 45.4950206, -73.6199031 45.4947149, -73.6199575 45.4946473)))"
Parc des Meubliers,Mo-Su 06:00-24:00,,,,,park,,,,"LINESTRING (-73.57005839999999 45.4862041, -73.5704286 45.4863825, -73.5692282 45.4878002, -73.56898440000001 45.4876812, -73.5694694 45.4868577, -73.57005839999999 45.4862041)"
Marché Métro,Mo-Su 8:00-23:00,,,supermarket,,,,,yes,"LINESTRING (-73.6369263 45.5587959, -73.6361091 45.5584612, -73.6364593 45.558042, -73.6372765 45.5583766, -73.6369263 45.5587959)"
Desjardins - Caisse Centre-Nord de Montréal,"Lun-Ven 10:00-15:00, Jeu 10:00-19:00",bank,,,,,,,yes,"LINESTRING (-73.63733999999999 45.5583058, -73.63744440000001 45.5581845, -73.63711259999999 45.5580446, -73.63700830000001 45.5581659, -73.63733999999999 45.5583058)"
